@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute bow_accel numeric
@attribute bow_accel2 {0,1,2,3,4,5}
@attribute volume numeric
@attribute volume2 {0,1,2,3,4,5}
@attribute notes numeric
@attribute notes2 {0,1,2,3,4,5}

@data
2119,'2024/04/24 13:40:47:412',3,-16,-9,-9,-0.76,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2120,'2024/04/24 13:40:47:414',3,-15,-9,-9,-0.76,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2121,'2024/04/24 13:40:47:415',3,-15,-9,-9,-0.76,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2122,'2024/04/24 13:40:47:415',3,-15,-9,-9,-0.76,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2123,'2024/04/24 13:40:47:415',3,-15,-9,-9,-0.71,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2124,'2024/04/24 13:40:47:415',3,-15,-9,-9,-0.71,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2125,'2024/04/24 13:40:47:415',3,-15,-9,-9,-0.71,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2126,'2024/04/24 13:40:47:419',3,-15,-9,-9,-0.71,-0.43,-0.43,-76,74,10465.136719,?,?,?,?,?,?
2127,'2024/04/24 13:40:47:433',3,-15,-9,-9,-0.71,-0.43,-0.43,-76,74,10465.136719,?,?,?,?,?,?
2128,'2024/04/24 13:40:47:435',3,-15,-9,-9,-0.71,-0.43,-0.43,-76,74,10465.136719,?,?,?,?,?,?
2129,'2024/04/24 13:40:47:439',3,-15,-9,-9,-0.71,-0.43,-0.43,-66,74,10465.136719,?,?,?,?,?,?
2130,'2024/04/24 13:40:47:456',3,-15,-9,-9,-0.71,-0.43,-0.43,-66,74,10465.136719,?,?,?,?,?,?
2131,'2024/04/24 13:40:47:458',3,-15,-9,-9,-0.71,-0.43,-0.43,-66,74,10465.136719,?,?,?,?,?,?
2132,'2024/04/24 13:40:47:459',3,-15,-9,-9,-0.71,-0.43,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2133,'2024/04/24 13:40:47:479',3,-15,-9,-9,-0.71,-0.43,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2134,'2024/04/24 13:40:47:479',3,-15,-9,-9,-0.71,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2135,'2024/04/24 13:40:47:481',3,-15,-9,-9,-0.71,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2136,'2024/04/24 13:40:47:499',3,-15,-9,-9,-0.71,-0.43,-0.43,-65,74,10465.136719,?,?,?,?,?,?
2137,'2024/04/24 13:40:47:503',3,-15,-9,-9,-0.71,-0.43,-0.43,-65,74,10465.136719,?,?,?,?,?,?
2138,'2024/04/24 13:40:47:504',3,-15,-9,-9,-0.71,-0.43,-0.43,-65,74,10465.136719,?,?,?,?,?,?
2139,'2024/04/24 13:40:47:519',3,-15,-9,-9,-0.71,-0.43,-0.43,-74,74,10465.136719,?,?,?,?,?,?
2140,'2024/04/24 13:40:47:525',3,-15,-9,-9,-0.71,-0.43,-0.43,-74,74,10465.136719,?,?,?,?,?,?
2141,'2024/04/24 13:40:47:527',3,-15,-9,-9,-0.71,-0.43,-0.43,-74,74,10465.136719,?,?,?,?,?,?
2142,'2024/04/24 13:40:47:539',3,-15,-9,-9,-0.71,-0.43,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2143,'2024/04/24 13:40:47:549',3,-15,-9,-9,-0.71,-0.43,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2144,'2024/04/24 13:40:47:551',3,-15,-9,-9,-0.71,-0.43,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2145,'2024/04/24 13:40:47:559',3,-15,-9,-9,-0.71,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2146,'2024/04/24 13:40:47:572',3,-15,-9,-9,-0.71,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2147,'2024/04/24 13:40:47:574',3,-15,-9,-9,-0.71,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2148,'2024/04/24 13:40:47:579',3,-15,-9,-9,-0.71,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2149,'2024/04/24 13:40:47:596',3,-15,-9,-9,-0.71,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2150,'2024/04/24 13:40:47:597',3,-15,-9,-9,-0.71,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2151,'2024/04/24 13:40:47:618',3,-15,-9,-9,-0.71,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2152,'2024/04/24 13:40:47:619',3,-15,-9,-9,-0.71,-0.43,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2153,'2024/04/24 13:40:47:621',3,-15,-9,-9,-0.71,-0.43,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2154,'2024/04/24 13:40:47:639',3,-15,-9,-9,-0.71,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2155,'2024/04/24 13:40:47:642',3,-15,-9,-9,-0.71,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2156,'2024/04/24 13:40:47:644',3,-15,-9,-9,-0.71,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2157,'2024/04/24 13:40:47:659',3,-15,-9,-9,-0.71,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2158,'2024/04/24 13:40:47:662',3,-16,-9,-9,-0.71,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2159,'2024/04/24 13:40:47:663',3,-16,-9,-9,-0.71,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2160,'2024/04/24 13:40:47:663',3,-16,-9,-8,-0.71,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2161,'2024/04/24 13:40:47:663',3,-16,-9,-8,-0.76,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2162,'2024/04/24 13:40:47:663',3,-16,-9,-8,-0.76,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2163,'2024/04/24 13:40:47:663',3,-16,-9,-8,-0.76,-0.43,-0.38,-64,74,10465.136719,?,?,?,?,?,?
2164,'2024/04/24 13:40:47:665',3,-16,-9,-8,-0.76,-0.43,-0.38,-64,74,10465.136719,?,?,?,?,?,?
2165,'2024/04/24 13:40:47:667',3,-16,-9,-8,-0.76,-0.43,-0.38,-64,74,10465.136719,?,?,?,?,?,?
2166,'2024/04/24 13:40:47:679',3,-16,-9,-8,-0.76,-0.43,-0.38,-66,74,10465.136719,?,?,?,?,?,?
2167,'2024/04/24 13:40:47:688',3,-16,-9,-8,-0.76,-0.43,-0.38,-66,74,10465.136719,?,?,?,?,?,?
2168,'2024/04/24 13:40:47:691',3,-16,-9,-8,-0.76,-0.43,-0.38,-66,74,10465.136719,?,?,?,?,?,?
2169,'2024/04/24 13:40:47:711',3,-16,-9,-8,-0.76,-0.43,-0.38,-66,74,10465.136719,?,?,?,?,?,?
2170,'2024/04/24 13:40:47:714',3,-16,-9,-8,-0.76,-0.43,-0.38,-66,74,10465.136719,?,?,?,?,?,?
2171,'2024/04/24 13:40:47:734',3,-16,-9,-8,-0.76,-0.43,-0.38,-66,74,10465.136719,?,?,?,?,?,?
